_id,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
1,10000,MADRID-PRINCIPE PIO,MADRID,00:00 - 00:30,0,36
2,10000,MADRID-PRINCIPE PIO,MADRID,05:30 - 06:00,2,0
3,10000,MADRID-PRINCIPE PIO,MADRID,06:00 - 06:30,56,50
4,10000,MADRID-PRINCIPE PIO,MADRID,06:30 - 07:00,258,239
5,10000,MADRID-PRINCIPE PIO,MADRID,07:00 - 07:30,428,442
6,10000,MADRID-PRINCIPE PIO,MADRID,07:30 - 08:00,668,808
7,10000,MADRID-PRINCIPE PIO,MADRID,08:00 - 08:30,825,1166
8,10000,MADRID-PRINCIPE PIO,MADRID,08:30 - 09:00,767,1140
9,10000,MADRID-PRINCIPE PIO,MADRID,09:00 - 09:30,622,739
10,10000,MADRID-PRINCIPE PIO,MADRID,09:30 - 10:00,397,511
11,10000,MADRID-PRINCIPE PIO,MADRID,10:00 - 10:30,237,359
12,10000,MADRID-PRINCIPE PIO,MADRID,10:30 - 11:00,107,273
13,10000,MADRID-PRINCIPE PIO,MADRID,11:00 - 11:30,268,326
14,10000,MADRID-PRINCIPE PIO,MADRID,11:30 - 12:00,133,241
15,10000,MADRID-PRINCIPE PIO,MADRID,12:00 - 12:30,336,335
16,10000,MADRID-PRINCIPE PIO,MADRID,12:30 - 13:00,258,294
17,10000,MADRID-PRINCIPE PIO,MADRID,13:00 - 13:30,242,221
18,10000,MADRID-PRINCIPE PIO,MADRID,13:30 - 14:00,443,429
19,10000,MADRID-PRINCIPE PIO,MADRID,14:00 - 14:30,525,484
20,10000,MADRID-PRINCIPE PIO,MADRID,14:30 - 15:00,757,537
21,10000,MADRID-PRINCIPE PIO,MADRID,15:00 - 15:30,527,629
22,10000,MADRID-PRINCIPE PIO,MADRID,15:30 - 16:00,685,662
23,10000,MADRID-PRINCIPE PIO,MADRID,16:00 - 16:30,404,448
24,10000,MADRID-PRINCIPE PIO,MADRID,16:30 - 17:00,304,395
25,10000,MADRID-PRINCIPE PIO,MADRID,17:00 - 17:30,485,455
26,10000,MADRID-PRINCIPE PIO,MADRID,17:30 - 18:00,312,249
27,10000,MADRID-PRINCIPE PIO,MADRID,18:00 - 18:30,514,608
28,10000,MADRID-PRINCIPE PIO,MADRID,18:30 - 19:00,617,858
29,10000,MADRID-PRINCIPE PIO,MADRID,19:00 - 19:30,468,326
30,10000,MADRID-PRINCIPE PIO,MADRID,19:30 - 20:00,417,668
31,10000,MADRID-PRINCIPE PIO,MADRID,20:00 - 20:30,643,644
32,10000,MADRID-PRINCIPE PIO,MADRID,20:30 - 21:00,342,434
33,10000,MADRID-PRINCIPE PIO,MADRID,21:00 - 21:30,198,231
34,10000,MADRID-PRINCIPE PIO,MADRID,21:30 - 22:00,439,334
35,10000,MADRID-PRINCIPE PIO,MADRID,22:00 - 22:30,263,222
36,10000,MADRID-PRINCIPE PIO,MADRID,22:30 - 23:00,155,113
37,10000,MADRID-PRINCIPE PIO,MADRID,23:00 - 23:30,115,99
38,10000,MADRID-PRINCIPE PIO,MADRID,23:30 - 00:00,72,62
39,10001,ARAVACA,MADRID,06:00 - 06:30,27,5
40,10001,ARAVACA,MADRID,06:30 - 07:00,81,187
41,10001,ARAVACA,MADRID,07:00 - 07:30,242,277
42,10001,ARAVACA,MADRID,07:30 - 08:00,471,574
43,10001,ARAVACA,MADRID,08:00 - 08:30,634,349
44,10001,ARAVACA,MADRID,08:30 - 09:00,534,1109
45,10001,ARAVACA,MADRID,09:00 - 09:30,302,228
46,10001,ARAVACA,MADRID,09:30 - 10:00,185,388
47,10001,ARAVACA,MADRID,10:00 - 10:30,123,77
48,10001,ARAVACA,MADRID,10:30 - 11:00,140,226
49,10001,ARAVACA,MADRID,11:00 - 11:30,84,125
50,10001,ARAVACA,MADRID,11:30 - 12:00,105,73
51,10001,ARAVACA,MADRID,12:00 - 12:30,188,206
52,10001,ARAVACA,MADRID,12:30 - 13:00,230,131
53,10001,ARAVACA,MADRID,13:00 - 13:30,215,181
54,10001,ARAVACA,MADRID,13:30 - 14:00,173,138
55,10001,ARAVACA,MADRID,14:00 - 14:30,293,237
56,10001,ARAVACA,MADRID,14:30 - 15:00,306,318
57,10001,ARAVACA,MADRID,15:00 - 15:30,475,406
58,10001,ARAVACA,MADRID,15:30 - 16:00,128,233
59,10001,ARAVACA,MADRID,16:00 - 16:30,320,363
60,10001,ARAVACA,MADRID,16:30 - 17:00,118,251
61,10001,ARAVACA,MADRID,17:00 - 17:30,293,226
62,10001,ARAVACA,MADRID,17:30 - 18:00,247,234
63,10001,ARAVACA,MADRID,18:00 - 18:30,125,317
64,10001,ARAVACA,MADRID,18:30 - 19:00,715,324
65,10001,ARAVACA,MADRID,19:00 - 19:30,171,141
66,10001,ARAVACA,MADRID,19:30 - 20:00,565,451
67,10001,ARAVACA,MADRID,20:00 - 20:30,262,278
68,10001,ARAVACA,MADRID,20:30 - 21:00,140,237
69,10001,ARAVACA,MADRID,21:00 - 21:30,176,92
70,10001,ARAVACA,MADRID,21:30 - 22:00,100,151
71,10001,ARAVACA,MADRID,22:00 - 22:30,72,104
72,10001,ARAVACA,MADRID,22:30 - 23:00,32,46
73,10001,ARAVACA,MADRID,23:00 - 23:30,39,32
74,10001,ARAVACA,MADRID,23:30 - 00:00,34,22
75,10002,POZUELO,MADRID,06:00 - 06:30,24,6
76,10002,POZUELO,MADRID,06:30 - 07:00,46,108
77,10002,POZUELO,MADRID,07:00 - 07:30,218,240
78,10002,POZUELO,MADRID,07:30 - 08:00,168,264
79,10002,POZUELO,MADRID,08:00 - 08:30,349,401
80,10002,POZUELO,MADRID,08:30 - 09:00,285,589
81,10002,POZUELO,MADRID,09:00 - 09:30,184,229
82,10002,POZUELO,MADRID,09:30 - 10:00,105,179
83,10002,POZUELO,MADRID,10:00 - 10:30,122,148
84,10002,POZUELO,MADRID,10:30 - 11:00,93,89
85,10002,POZUELO,MADRID,11:00 - 11:30,75,117
86,10002,POZUELO,MADRID,11:30 - 12:00,98,85
87,10002,POZUELO,MADRID,12:00 - 12:30,111,121
88,10002,POZUELO,MADRID,12:30 - 13:00,103,75
89,10002,POZUELO,MADRID,13:00 - 13:30,197,102
90,10002,POZUELO,MADRID,13:30 - 14:00,139,87
91,10002,POZUELO,MADRID,14:00 - 14:30,233,147
92,10002,POZUELO,MADRID,14:30 - 15:00,163,186
93,10002,POZUELO,MADRID,15:00 - 15:30,198,214
94,10002,POZUELO,MADRID,15:30 - 16:00,117,130
95,10002,POZUELO,MADRID,16:00 - 16:30,185,214
96,10002,POZUELO,MADRID,16:30 - 17:00,175,196
97,10002,POZUELO,MADRID,17:00 - 17:30,215,117
98,10002,POZUELO,MADRID,17:30 - 18:00,188,145
99,10002,POZUELO,MADRID,18:00 - 18:30,134,296
100,10002,POZUELO,MADRID,18:30 - 19:00,207,180
101,10002,POZUELO,MADRID,19:00 - 19:30,301,121
102,10002,POZUELO,MADRID,19:30 - 20:00,154,245
103,10002,POZUELO,MADRID,20:00 - 20:30,269,149
104,10002,POZUELO,MADRID,20:30 - 21:00,121,97
105,10002,POZUELO,MADRID,21:00 - 21:30,150,89
106,10002,POZUELO,MADRID,21:30 - 22:00,86,106
107,10002,POZUELO,MADRID,22:00 - 22:30,117,52
108,10002,POZUELO,MADRID,22:30 - 23:00,35,85
109,10002,POZUELO,MADRID,23:00 - 23:30,14,26
110,10002,POZUELO,MADRID,23:30 - 00:00,12,8
111,10005,LAS ROZAS,MADRID,00:00 - 00:30,2,7
112,10005,LAS ROZAS,MADRID,05:30 - 06:00,25,1
113,10005,LAS ROZAS,MADRID,06:00 - 06:30,55,9
114,10005,LAS ROZAS,MADRID,06:30 - 07:00,110,32
115,10005,LAS ROZAS,MADRID,07:00 - 07:30,342,60
116,10005,LAS ROZAS,MADRID,07:30 - 08:00,554,229
117,10005,LAS ROZAS,MADRID,08:00 - 08:30,520,271
118,10005,LAS ROZAS,MADRID,08:30 - 09:00,318,187
119,10005,LAS ROZAS,MADRID,09:00 - 09:30,175,146
120,10005,LAS ROZAS,MADRID,09:30 - 10:00,109,100
121,10005,LAS ROZAS,MADRID,10:00 - 10:30,88,52
122,10005,LAS ROZAS,MADRID,10:30 - 11:00,79,55
123,10005,LAS ROZAS,MADRID,11:00 - 11:30,99,57
124,10005,LAS ROZAS,MADRID,11:30 - 12:00,44,54
125,10005,LAS ROZAS,MADRID,12:00 - 12:30,68,64
126,10005,LAS ROZAS,MADRID,12:30 - 13:00,64,64
127,10005,LAS ROZAS,MADRID,13:00 - 13:30,96,70
128,10005,LAS ROZAS,MADRID,13:30 - 14:00,108,57
129,10005,LAS ROZAS,MADRID,14:00 - 14:30,129,101
130,10005,LAS ROZAS,MADRID,14:30 - 15:00,135,184
131,10005,LAS ROZAS,MADRID,15:00 - 15:30,130,189
132,10005,LAS ROZAS,MADRID,15:30 - 16:00,114,173
133,10005,LAS ROZAS,MADRID,16:00 - 16:30,90,133
134,10005,LAS ROZAS,MADRID,16:30 - 17:00,96,110
135,10005,LAS ROZAS,MADRID,17:00 - 17:30,124,98
136,10005,LAS ROZAS,MADRID,17:30 - 18:00,133,147
137,10005,LAS ROZAS,MADRID,18:00 - 18:30,183,172
138,10005,LAS ROZAS,MADRID,18:30 - 19:00,147,255
139,10005,LAS ROZAS,MADRID,19:00 - 19:30,117,218
140,10005,LAS ROZAS,MADRID,19:30 - 20:00,124,250
141,10005,LAS ROZAS,MADRID,20:00 - 20:30,52,98
142,10005,LAS ROZAS,MADRID,20:30 - 21:00,75,162
143,10005,LAS ROZAS,MADRID,21:00 - 21:30,84,177
144,10005,LAS ROZAS,MADRID,21:30 - 22:00,7,15
145,10005,LAS ROZAS,MADRID,22:00 - 22:30,42,129
146,10005,LAS ROZAS,MADRID,22:30 - 23:00,21,56
147,10005,LAS ROZAS,MADRID,23:00 - 23:30,19,28
148,10005,LAS ROZAS,MADRID,23:30 - 00:00,6,11
149,10007,MAJADAHONDA,MADRID,00:00 - 00:30,3,0
150,10007,MAJADAHONDA,MADRID,05:30 - 06:00,21,2
151,10007,MAJADAHONDA,MADRID,06:00 - 06:30,49,7
152,10007,MAJADAHONDA,MADRID,06:30 - 07:00,46,65
153,10007,MAJADAHONDA,MADRID,07:00 - 07:30,288,110
154,10007,MAJADAHONDA,MADRID,07:30 - 08:00,341,251
155,10007,MAJADAHONDA,MADRID,08:00 - 08:30,364,337
156,10007,MAJADAHONDA,MADRID,08:30 - 09:00,286,400
157,10007,MAJADAHONDA,MADRID,09:00 - 09:30,171,249
158,10007,MAJADAHONDA,MADRID,09:30 - 10:00,143,135
159,10007,MAJADAHONDA,MADRID,10:00 - 10:30,130,109
160,10007,MAJADAHONDA,MADRID,10:30 - 11:00,81,77
161,10007,MAJADAHONDA,MADRID,11:00 - 11:30,75,69
162,10007,MAJADAHONDA,MADRID,11:30 - 12:00,64,45
163,10007,MAJADAHONDA,MADRID,12:00 - 12:30,71,63
164,10007,MAJADAHONDA,MADRID,12:30 - 13:00,130,99
165,10007,MAJADAHONDA,MADRID,13:00 - 13:30,130,67
166,10007,MAJADAHONDA,MADRID,13:30 - 14:00,144,81
167,10007,MAJADAHONDA,MADRID,14:00 - 14:30,158,136
168,10007,MAJADAHONDA,MADRID,14:30 - 15:00,301,148
169,10007,MAJADAHONDA,MADRID,15:00 - 15:30,154,137
170,10007,MAJADAHONDA,MADRID,15:30 - 16:00,164,118
171,10007,MAJADAHONDA,MADRID,16:00 - 16:30,159,122
172,10007,MAJADAHONDA,MADRID,16:30 - 17:00,135,88
173,10007,MAJADAHONDA,MADRID,17:00 - 17:30,130,90
174,10007,MAJADAHONDA,MADRID,17:30 - 18:00,192,160
175,10007,MAJADAHONDA,MADRID,18:00 - 18:30,222,114
176,10007,MAJADAHONDA,MADRID,18:30 - 19:00,172,199
177,10007,MAJADAHONDA,MADRID,19:00 - 19:30,157,156
178,10007,MAJADAHONDA,MADRID,19:30 - 20:00,161,206
179,10007,MAJADAHONDA,MADRID,20:00 - 20:30,124,69
180,10007,MAJADAHONDA,MADRID,20:30 - 21:00,168,116
181,10007,MAJADAHONDA,MADRID,21:00 - 21:30,83,72
182,10007,MAJADAHONDA,MADRID,21:30 - 22:00,30,54
183,10007,MAJADAHONDA,MADRID,22:00 - 22:30,37,38
184,10007,MAJADAHONDA,MADRID,22:30 - 23:00,36,41
185,10007,MAJADAHONDA,MADRID,23:00 - 23:30,15,19
186,10007,MAJADAHONDA,MADRID,23:30 - 00:00,9,7
187,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,00:00 - 00:30,0,0
188,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,06:00 - 06:30,9,23
189,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,06:30 - 07:00,13,32
190,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,07:00 - 07:30,58,78
191,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,07:30 - 08:00,36,221
192,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,08:00 - 08:30,95,340
193,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,08:30 - 09:00,77,595
194,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,09:00 - 09:30,38,243
195,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,09:30 - 10:00,31,224
196,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,10:00 - 10:30,45,120
197,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,10:30 - 11:00,31,66
198,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,11:00 - 11:30,22,65
199,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,11:30 - 12:00,22,31
200,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,12:00 - 12:30,27,28
201,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,12:30 - 13:00,32,62
202,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,13:00 - 13:30,59,38
203,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,13:30 - 14:00,45,72
204,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,14:00 - 14:30,72,109
205,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,14:30 - 15:00,49,71
206,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,15:00 - 15:30,184,108
207,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,15:30 - 16:00,62,118
208,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,16:00 - 16:30,180,89
209,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,16:30 - 17:00,79,36
210,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,17:00 - 17:30,138,54
211,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,17:30 - 18:00,119,63
212,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,18:00 - 18:30,367,33
213,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,18:30 - 19:00,239,51
214,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,19:00 - 19:30,198,50
215,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,19:30 - 20:00,71,44
216,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,20:00 - 20:30,127,41
217,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,20:30 - 21:00,78,23
218,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,21:00 - 21:30,99,21
219,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,21:30 - 22:00,49,19
220,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,22:00 - 22:30,166,15
221,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,22:30 - 23:00,44,22
222,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,23:00 - 23:30,59,3
223,10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,MADRID,23:30 - 00:00,3,0
224,10100,PINAR DE LAS ROZAS,MADRID,00:00 - 00:30,0,7
225,10100,PINAR DE LAS ROZAS,MADRID,05:30 - 06:00,5,9
226,10100,PINAR DE LAS ROZAS,MADRID,06:00 - 06:30,16,31
227,10100,PINAR DE LAS ROZAS,MADRID,06:30 - 07:00,55,102
228,10100,PINAR DE LAS ROZAS,MADRID,07:00 - 07:30,240,296
229,10100,PINAR DE LAS ROZAS,MADRID,07:30 - 08:00,293,470
230,10100,PINAR DE LAS ROZAS,MADRID,08:00 - 08:30,325,210
231,10100,PINAR DE LAS ROZAS,MADRID,08:30 - 09:00,188,536
232,10100,PINAR DE LAS ROZAS,MADRID,09:00 - 09:30,76,274
233,10100,PINAR DE LAS ROZAS,MADRID,09:30 - 10:00,48,133
234,10100,PINAR DE LAS ROZAS,MADRID,10:00 - 10:30,55,52
235,10100,PINAR DE LAS ROZAS,MADRID,10:30 - 11:00,26,45
236,10100,PINAR DE LAS ROZAS,MADRID,11:00 - 11:30,41,64
237,10100,PINAR DE LAS ROZAS,MADRID,11:30 - 12:00,31,42
238,10100,PINAR DE LAS ROZAS,MADRID,12:00 - 12:30,45,43
239,10100,PINAR DE LAS ROZAS,MADRID,12:30 - 13:00,29,27
240,10100,PINAR DE LAS ROZAS,MADRID,13:00 - 13:30,43,42
241,10100,PINAR DE LAS ROZAS,MADRID,13:30 - 14:00,63,82
242,10100,PINAR DE LAS ROZAS,MADRID,14:00 - 14:30,76,90
243,10100,PINAR DE LAS ROZAS,MADRID,14:30 - 15:00,113,115
244,10100,PINAR DE LAS ROZAS,MADRID,15:00 - 15:30,175,134
245,10100,PINAR DE LAS ROZAS,MADRID,15:30 - 16:00,132,159
246,10100,PINAR DE LAS ROZAS,MADRID,16:00 - 16:30,126,92
247,10100,PINAR DE LAS ROZAS,MADRID,16:30 - 17:00,89,73
248,10100,PINAR DE LAS ROZAS,MADRID,17:00 - 17:30,159,59
249,10100,PINAR DE LAS ROZAS,MADRID,17:30 - 18:00,251,104
250,10100,PINAR DE LAS ROZAS,MADRID,18:00 - 18:30,446,88
251,10100,PINAR DE LAS ROZAS,MADRID,18:30 - 19:00,232,92
252,10100,PINAR DE LAS ROZAS,MADRID,19:00 - 19:30,234,203
253,10100,PINAR DE LAS ROZAS,MADRID,19:30 - 20:00,78,85
254,10100,PINAR DE LAS ROZAS,MADRID,20:00 - 20:30,104,65
255,10100,PINAR DE LAS ROZAS,MADRID,20:30 - 21:00,39,39
256,10100,PINAR DE LAS ROZAS,MADRID,21:00 - 21:30,53,72
257,10100,PINAR DE LAS ROZAS,MADRID,21:30 - 22:00,25,34
258,10100,PINAR DE LAS ROZAS,MADRID,22:00 - 22:30,37,37
259,10100,PINAR DE LAS ROZAS,MADRID,22:30 - 23:00,34,19
260,10100,PINAR DE LAS ROZAS,MADRID,23:00 - 23:30,11,13
261,10100,PINAR DE LAS ROZAS,MADRID,23:30 - 00:00,6,3
262,10101,LAS MATAS,MADRID,00:00 - 00:30,5,19
263,10101,LAS MATAS,MADRID,05:30 - 06:00,6,1
264,10101,LAS MATAS,MADRID,06:00 - 06:30,29,8
265,10101,LAS MATAS,MADRID,06:30 - 07:00,75,27
266,10101,LAS MATAS,MADRID,07:00 - 07:30,144,133
267,10101,LAS MATAS,MADRID,07:30 - 08:00,205,208
268,10101,LAS MATAS,MADRID,08:00 - 08:30,351,101
269,10101,LAS MATAS,MADRID,08:30 - 09:00,180,200
270,10101,LAS MATAS,MADRID,09:00 - 09:30,105,119
271,10101,LAS MATAS,MADRID,09:30 - 10:00,38,72
272,10101,LAS MATAS,MADRID,10:00 - 10:30,36,47
273,10101,LAS MATAS,MADRID,10:30 - 11:00,34,32
274,10101,LAS MATAS,MADRID,11:00 - 11:30,61,48
275,10101,LAS MATAS,MADRID,11:30 - 12:00,18,24
276,10101,LAS MATAS,MADRID,12:00 - 12:30,40,42
277,10101,LAS MATAS,MADRID,12:30 - 13:00,35,29
278,10101,LAS MATAS,MADRID,13:00 - 13:30,40,41
279,10101,LAS MATAS,MADRID,13:30 - 14:00,63,74
280,10101,LAS MATAS,MADRID,14:00 - 14:30,111,80
281,10101,LAS MATAS,MADRID,14:30 - 15:00,35,49
282,10101,LAS MATAS,MADRID,15:00 - 15:30,127,188
283,10101,LAS MATAS,MADRID,15:30 - 16:00,94,97
284,10101,LAS MATAS,MADRID,16:00 - 16:30,83,130
285,10101,LAS MATAS,MADRID,16:30 - 17:00,77,86
286,10101,LAS MATAS,MADRID,17:00 - 17:30,65,76
287,10101,LAS MATAS,MADRID,17:30 - 18:00,114,45
288,10101,LAS MATAS,MADRID,18:00 - 18:30,185,88
289,10101,LAS MATAS,MADRID,18:30 - 19:00,67,93
290,10101,LAS MATAS,MADRID,19:00 - 19:30,165,145
291,10101,LAS MATAS,MADRID,19:30 - 20:00,35,87
292,10101,LAS MATAS,MADRID,20:00 - 20:30,66,121
293,10101,LAS MATAS,MADRID,20:30 - 21:00,81,69
294,10101,LAS MATAS,MADRID,21:00 - 21:30,50,101
295,10101,LAS MATAS,MADRID,21:30 - 22:00,26,27
296,10101,LAS MATAS,MADRID,22:00 - 22:30,27,52
297,10101,LAS MATAS,MADRID,22:30 - 23:00,14,17
298,10101,LAS MATAS,MADRID,23:00 - 23:30,8,32
299,10101,LAS MATAS,MADRID,23:30 - 00:00,9,20
300,10103,TORRELODONES,MADRID,00:00 - 00:30,2,7
301,10103,TORRELODONES,MADRID,05:30 - 06:00,8,0
302,10103,TORRELODONES,MADRID,06:00 - 06:30,36,10
303,10103,TORRELODONES,MADRID,06:30 - 07:00,80,11
304,10103,TORRELODONES,MADRID,07:00 - 07:30,176,39
305,10103,TORRELODONES,MADRID,07:30 - 08:00,234,40
306,10103,TORRELODONES,MADRID,08:00 - 08:30,128,61
307,10103,TORRELODONES,MADRID,08:30 - 09:00,142,43
308,10103,TORRELODONES,MADRID,09:00 - 09:30,52,34
309,10103,TORRELODONES,MADRID,09:30 - 10:00,38,33
310,10103,TORRELODONES,MADRID,10:00 - 10:30,16,16
311,10103,TORRELODONES,MADRID,10:30 - 11:00,42,19
312,10103,TORRELODONES,MADRID,11:00 - 11:30,37,19
313,10103,TORRELODONES,MADRID,11:30 - 12:00,30,16
314,10103,TORRELODONES,MADRID,12:00 - 12:30,39,11
315,10103,TORRELODONES,MADRID,12:30 - 13:00,12,11
316,10103,TORRELODONES,MADRID,13:00 - 13:30,49,20
317,10103,TORRELODONES,MADRID,13:30 - 14:00,36,36
318,10103,TORRELODONES,MADRID,14:00 - 14:30,163,54
319,10103,TORRELODONES,MADRID,14:30 - 15:00,33,54
320,10103,TORRELODONES,MADRID,15:00 - 15:30,67,102
321,10103,TORRELODONES,MADRID,15:30 - 16:00,46,59
322,10103,TORRELODONES,MADRID,16:00 - 16:30,57,84
323,10103,TORRELODONES,MADRID,16:30 - 17:00,40,46
324,10103,TORRELODONES,MADRID,17:00 - 17:30,43,45
325,10103,TORRELODONES,MADRID,17:30 - 18:00,10,17
326,10103,TORRELODONES,MADRID,18:00 - 18:30,205,79
327,10103,TORRELODONES,MADRID,18:30 - 19:00,44,104
328,10103,TORRELODONES,MADRID,19:00 - 19:30,54,105
329,10103,TORRELODONES,MADRID,19:30 - 20:00,57,28
330,10103,TORRELODONES,MADRID,20:00 - 20:30,35,59
331,10103,TORRELODONES,MADRID,20:30 - 21:00,27,41
332,10103,TORRELODONES,MADRID,21:00 - 21:30,34,53
333,10103,TORRELODONES,MADRID,21:30 - 22:00,9,31
334,10103,TORRELODONES,MADRID,22:00 - 22:30,13,15
335,10103,TORRELODONES,MADRID,22:30 - 23:00,11,26
336,10103,TORRELODONES,MADRID,23:00 - 23:30,1,25
337,10103,TORRELODONES,MADRID,23:30 - 00:00,5,8
338,10104,GALAPAGAR-LA NAVATA,MADRID,00:00 - 00:30,0,4
339,10104,GALAPAGAR-LA NAVATA,MADRID,05:30 - 06:00,8,0
340,10104,GALAPAGAR-LA NAVATA,MADRID,06:00 - 06:30,31,1
341,10104,GALAPAGAR-LA NAVATA,MADRID,06:30 - 07:00,59,4
342,10104,GALAPAGAR-LA NAVATA,MADRID,07:00 - 07:30,206,10
343,10104,GALAPAGAR-LA NAVATA,MADRID,07:30 - 08:00,195,30
344,10104,GALAPAGAR-LA NAVATA,MADRID,08:00 - 08:30,135,56
345,10104,GALAPAGAR-LA NAVATA,MADRID,08:30 - 09:00,106,17
346,10104,GALAPAGAR-LA NAVATA,MADRID,09:00 - 09:30,41,12
347,10104,GALAPAGAR-LA NAVATA,MADRID,09:30 - 10:00,38,12
348,10104,GALAPAGAR-LA NAVATA,MADRID,10:00 - 10:30,25,12
349,10104,GALAPAGAR-LA NAVATA,MADRID,10:30 - 11:00,9,4
350,10104,GALAPAGAR-LA NAVATA,MADRID,11:00 - 11:30,16,5
351,10104,GALAPAGAR-LA NAVATA,MADRID,11:30 - 12:00,18,11
352,10104,GALAPAGAR-LA NAVATA,MADRID,12:00 - 12:30,17,7
353,10104,GALAPAGAR-LA NAVATA,MADRID,12:30 - 13:00,16,5
354,10104,GALAPAGAR-LA NAVATA,MADRID,13:00 - 13:30,34,19
355,10104,GALAPAGAR-LA NAVATA,MADRID,13:30 - 14:00,30,36
356,10104,GALAPAGAR-LA NAVATA,MADRID,14:00 - 14:30,23,44
357,10104,GALAPAGAR-LA NAVATA,MADRID,14:30 - 15:00,11,58
358,10104,GALAPAGAR-LA NAVATA,MADRID,15:00 - 15:30,38,84
359,10104,GALAPAGAR-LA NAVATA,MADRID,15:30 - 16:00,12,42
360,10104,GALAPAGAR-LA NAVATA,MADRID,16:00 - 16:30,33,60
361,10104,GALAPAGAR-LA NAVATA,MADRID,16:30 - 17:00,23,46
362,10104,GALAPAGAR-LA NAVATA,MADRID,17:00 - 17:30,23,44
363,10104,GALAPAGAR-LA NAVATA,MADRID,17:30 - 18:00,4,18
364,10104,GALAPAGAR-LA NAVATA,MADRID,18:00 - 18:30,63,58
365,10104,GALAPAGAR-LA NAVATA,MADRID,18:30 - 19:00,18,64
366,10104,GALAPAGAR-LA NAVATA,MADRID,19:00 - 19:30,30,75
367,10104,GALAPAGAR-LA NAVATA,MADRID,19:30 - 20:00,12,33
368,10104,GALAPAGAR-LA NAVATA,MADRID,20:00 - 20:30,17,65
369,10104,GALAPAGAR-LA NAVATA,MADRID,20:30 - 21:00,15,48
370,10104,GALAPAGAR-LA NAVATA,MADRID,21:00 - 21:30,12,42
371,10104,GALAPAGAR-LA NAVATA,MADRID,21:30 - 22:00,3,26
372,10104,GALAPAGAR-LA NAVATA,MADRID,22:00 - 22:30,2,12
373,10104,GALAPAGAR-LA NAVATA,MADRID,22:30 - 23:00,5,28
374,10104,GALAPAGAR-LA NAVATA,MADRID,23:00 - 23:30,0,15
375,10104,GALAPAGAR-LA NAVATA,MADRID,23:30 - 00:00,0,13
376,10200,VILLALBA DE GUADARRAMA,MADRID,00:00 - 00:30,0,3
377,10200,VILLALBA DE GUADARRAMA,MADRID,00:30 - 01:00,2,23
378,10200,VILLALBA DE GUADARRAMA,MADRID,05:30 - 06:00,58,0
379,10200,VILLALBA DE GUADARRAMA,MADRID,06:00 - 06:30,307,11
380,10200,VILLALBA DE GUADARRAMA,MADRID,06:30 - 07:00,481,43
381,10200,VILLALBA DE GUADARRAMA,MADRID,07:00 - 07:30,713,74
